Earthquake count within 2deg border 2010,Earthquake count within 2deg border 2011,Earthquake count within 2deg border 2012,Earthquake count within 2deg border 2013,Earthquake count within 2deg border 2014,Earthquake count within 2deg border 2015,Earthquake count within 2deg border 2016,Earthquake count within 2deg border 2017,Earthquake count within 2deg border 2018,Earthquake count within 2deg border 2019,Earthquake count within 2deg border 2020,Earthquake count within 2deg border 2021,Earthquake count within 2deg border 2022,Earthquake count within 2deg border 2023,Total
Indian Ocean Ter.,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
Italy,0.0,1.0,8.0,3.0,2.0,0.0,5.0,4.0,3.0,8.0,1.0,1.0,1.0,7.0,44.0
Laos,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,17.0
Libya,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
Monaco,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Namibia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0
Netherlands,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,4.0,3.0,18.0
Siachen Glacier,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,15.0
Sint Maarten,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,14.0
Spain,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0
St-Barthélemy,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,18.0
St-Martin,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,16.0
Thailand,0.0,4.0,0.0,4.0,4.0,1.0,1.0,1.0,9.0,2.0,0.0,1.0,1.0,2.0,30.0
U.S. Virgin Is.,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,2.0,1.0,26.0
Vietnam,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,10.0
Zambia,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,11.0
Zimbabwe,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Akrotiri,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,9.0
Austria,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0
Br. Indian Ocean Ter.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
Cyprus,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,12.0
